lgid,lgtype,latitude,longitude,govname
01001,1,39.99,-104.82,Adams County
01005,2,39.86,-104.82,"Commerce City, City of"
01009,2,39.87,-105.02,"Federal Heights, City of"
01011,12,39.99,-104.88,Hi-Land Acres Water & Sanitation District
01013,7,39.85,-105.04,Hyland Hills Metropolitan Park & Recreation District
01023,8,39.85,-104.84,South Adams County Fire Protection District
01024,8,39.82,-105.04,Southwest Adams County Fire Protection District
01039,6,40,-104.76,Bromley Park Metropolitan District No. 2
01041,6,39.99,-104.74,Brighton Crossing Metropolitan District No. 4
01049,6,39.92,-104.91,Wright Farms Metropolitan District
01064,6,39.91,-104.8,Buffalo Ridge Metropolitan District
01065,6,39.87,-104.86,Eagle Creek Metropolitan District
01066,6,39.9,-104.86,Riverdale Dunes Metropolitan District No. 1
01082,6,39.89,-104.88,Belle Creek Metropolitan District No. 1
01102,7,39.83,-104.5,Bennett Park and Recreation District
01900,99,39.83,-104.94,Mapleton 1 School District
01901,99,39.93,-104.99,Adams 12 Five Star Schools
01902,99,39.84,-104.87,Adams County 14 School District
01910,99,39.83,-105.02,Westminster 50 School District
02001,1,37.47,-105.87,Alamosa County
02003,2,37.48,-105.89,"Alamosa, City of"
02004,12,37.47,-105.83,East Alamosa Water & Sanitation District
02005,5,37.75,-105.88,"Hooper, Town of"
03001,1,39.61,-105.02,Arapahoe County
03006,6,39.6,-104.87,Arapahoe Lake Public Park District
03012,6,39.59,-104.7,Chaparral Metropolitan District
03015,7,39.61,-104.86,Cherry Creek Vista Metropolitan Recreation & Park District
03023,2,39.64,-104.95,"Cherry Hills Village, City of"
03024,6,39.66,-104.83,Heather Gardens Metropolitan District
03029,5,39.6,-105.04,"Columbine Valley, Town of"
03032,8,39.64,-104.8,Cunningham Fire Protection District
03033,5,39.61,-104.04,"Deer Trail, Town of"
03036,6,39.6,-104.66,East Arapahoe Metropolitan District
03041,2,39.65,-105,"Englewood, City of"
03043,2,39.7,-104.94,"Glendale, City of"
03051,2,39.62,-104.92,"Greenwood Village, City of"
03059,7,39.61,-104.9,Orchard Hills Metropolitan Recreation & Park District
03065,2,39.65,-105.04,"Sheridan, City of"
03067,6,39.62,-104.72,Smoky Hill Metropolitan District
03076,6,39.61,-104.87,Sundance Hills Metropolitan District
03087,7,39.62,-104.68,Arapahoe Park & Recreation District
03097,6,39.58,-104.84,Dove Valley Metropolitan District
03103,6,39.58,-104.74,Parker Jordan Metropolitan District
03129,6,39.6,-104.82,Goodman Metropolitan District
03130,6,39.62,-104.64,East Smoky Hill Metropolitan District No. 1
03134,5,39.59,-104.78,"Foxfield, Town of"
